study_id,site_ID,site_name,year,state,latitude,longitude,location_obscured,experimental_design,replications,rye_data_level,publication_DOI,methods_unpublished_data
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2007-2008,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
2,2,Crop Science Research and Education Center (CSREC),2004-2005,Illinois,40.05,-88.24,FALSE,Split-split plot design,4,Plot level,doi:10.1614/WS-D-09-00040.1,NA
2,2,Crop Science Research and Education Center (CSREC),2005-2006,Illinois,40.05,-88.24,FALSE,Split-split plot design,4,Plot level,doi:10.1614/WS-D-09-00040.1,NA
2,2,Crop Science Research and Education Center (CSREC),2006-2007,Illinois,40.05,-88.24,FALSE,Split-split plot design,4,Plot level,doi:10.1614/WS-D-09-00040.1,NA
3,2,Crop Science Research and Education Center (CSREC),2007-2008,Illinois,40.05,-88.24,FALSE,Randomized complete block design,3,Plot level,doi/10.1111/wre.12334,NA
3,2,Crop Science Research and Education Center (CSREC),2008-2009,Illinois,40.05,-88.24,FALSE,Randomized complete block design,3,Plot level,doi/10.1111/wre.12334,NA
3,2,Crop Science Research and Education Center (CSREC),2009-2010,Illinois,40.05,-88.24,FALSE,Randomized complete block design,3,Plot level,doi/10.1111/wre.12334,NA
4,3,Kelly Experimental Farm,2001-2002,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
4,3,Kelly Experimental Farm,2002-2003,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
4,3,Kelly Experimental Farm,2003-2004,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
4,3,Kelly Experimental Farm,2004-2005,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
5,3,Kelly Experimental Farm,2005-2006,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2006-2007,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2007-2008,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2007-2008,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2009-2010,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
6,3,Kelly Experimental Farm,2010-2011,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468 ,NA
6,3,Kelly Experimental Farm,2011-2012,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
6,3,Kelly Experimental Farm,2012-2013,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
6,3,Kelly Experimental Farm,2013-2014,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
7,3,Kelly Experimental Farm,2015-2016,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Plot level,NA,Cover crop shoot dry matter samples were collected within 3 d of final chemical termination in spring. Dry matter sampling consisted of clipping all cover crops at the soil surface within a 0.76 m by 0.50 m frame placed at three random locations within each plot. The frame was centered on the row of the previous crop with the long side perpendicular to the row direction. Samples were dried at 60 degrees C and weighed; cover crop shoot biomass dry weights were then scaled up to per-plot value using the size of the sampling frames. Acquired by email from Thomas Kaspar/Iowa State University.
7,3,Kelly Experimental Farm,2016-2017,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Plot level,NA,Cover crop shoot dry matter samples were collected within 3 d of final chemical termination in spring. Dry matter sampling consisted of clipping all cover crops at the soil surface within a 0.76 m by 0.50 m frame placed at three random locations within each plot. The frame was centered on the row of the previous crop with the long side perpendicular to the row direction. Samples were dried at 60 degrees C and weighed; cover crop shoot biomass dry weights were then scaled up to per-plot value using the size of the sampling frames. Acquired by email from Thomas Kaspar/Iowa State University.
8,4,Beltsville Agricultural Research Center,2009-2010,Maryland,39.016667,-76.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,4,Beltsville Agricultural Research Center,2010-2011,Maryland,39.016667,-76.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,4,Beltsville Agricultural Research Center,2011-2012,Maryland,39.016667,-76.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,5,Russell E. Larson Agricultural Research Center,2011-2012,Pennsylvania,40.716667,-77.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,6,"Caswell Research Station, Kinston",2011-2012,North Carolina,35.283333,-77.566667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,7,"Piedmont Research Station, Salisbury",2011-2012,North Carolina,35.7,-80.616667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
9,8,Crookston,2014-2015,Minnesota,47.797,-96.599,FALSE,Randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,8,Crookston,2015-2016,Minnesota,47.797,-96.599,FALSE,Randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,9,Lamberton,2014-2015,Minnesota,44.238,-95.308,FALSE,Randomized complete block design,3,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,9,Lamberton,2015-2016,Minnesota,44.238,-95.308,FALSE,Randomized complete block design,3,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,10,Saint Paul,2014-2015,Minnesota,44.99,-93.117,FALSE,Randomized complete block design,3,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,10,Saint Paul,2015-2016,Minnesota,44.99,-93.117,FALSE,Randomized complete block design,3,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
10,11,E.V. Smith Research Center,2010-2011,Alabama,32.424428,-85.889912,FALSE,Randomized complete block design,3,Plot level,doi:10.2134/agronj2017.08.0505,NA
10,11,E.V. Smith Research Center,2011-2012,Alabama,32.424428,-85.889912,FALSE,Randomized complete block design,3,Plot level,doi:10.2134/agronj2017.08.0505,NA
10,12,Tennessee Valley Research and Extension Center,2011-2012,Alabama,34.691149,-86.884276,FALSE,Randomized complete block design,3,Plot level,doi:10.2134/agronj2017.08.0505,NA
10,11,E.V. Smith Research Center,2012-2013,Alabama,32.424428,-85.889912,FALSE,Randomized complete block design,3,Plot level,doi:10.2134/agronj2017.08.0505,NA
10,12,Tennessee Valley Research and Extension Center,2012-2013,Alabama,34.691149,-86.884276,FALSE,Randomized complete block design,3,Plot level,doi:10.2134/agronj2017.08.0505,NA
10,11,E.V. Smith Research Center,2013-2014,Alabama,32.424428,-85.889912,FALSE,Randomized complete block design,3,Plot level,doi:10.2134/agronj2017.08.0505,NA
11,13,Wiregrass Research and Extension Center,2005-2006,Alabama,31.3759994,-85.309956,FALSE,Randomized complete block design,4,Plot level,doi.org/10.1155/2020/4518062,NA
11,13,Wiregrass Research and Extension Center,2006-2007,Alabama,31.3759994,-85.309956,FALSE,Randomized complete block design,4,Plot level,doi.org/10.1155/2020/4518062,NA
11,13,Wiregrass Research and Extension Center,2007-2008,Alabama,31.3759994,-85.309956,FALSE,Randomized complete block design,4,Plot level,doi.org/10.1155/2020/4518062,NA
12,14,Gulf Coast Research and Extension Center,2003-2004,Alabama,30.542221,-87.882447,FALSE,Unknown,4,Plot level,doi.org/10.2134/agronj2009.0334,NA
12,14,Gulf Coast Research and Extension Center,2004-2005,Alabama,30.542221,-87.882447,FALSE,Unknown,4,Plot level,doi.org/10.2134/agronj2009.0334,NA
12,14,Gulf Coast Research and Extension Center,2005-2006,Alabama,30.542221,-87.882447,FALSE,Unknown,1,Plot level,doi.org/10.2134/agronj2009.0334,NA
13,15,Prattville Agricultural Research Unit,2003-2004,Alabama,32.426771,-86.445092,FALSE,Split plot and randomized complete block design,4,Plot level,https://doi.org/10.2136/sssaj2013.01.0034,NA
13,15,Prattville Agricultural Research Unit,2004-2005,Alabama,32.426771,-86.445092,FALSE,Split plot and randomized complete block design,4,Plot level,https://doi.org/10.2136/sssaj2013.01.0034,NA
13,15,Prattville Agricultural Research Unit,2006-2007,Alabama,32.426771,-86.445092,FALSE,Split plot and randomized complete block design,4,Plot level,https://doi.org/10.2136/sssaj2013.01.0034,NA
13,15,Prattville Agricultural Research Unit,2007-2008,Alabama,32.426771,-86.445092,FALSE,Split plot and randomized complete block design,4,Plot level,https://doi.org/10.2136/sssaj2013.01.0034,NA
13,15,Prattville Agricultural Research Unit,2008-2009,Alabama,32.426771,-86.445092,FALSE,Split plot and randomized complete block design,4,Plot level,https://doi.org/10.2136/sssaj2013.01.0034,NA
14,16,"Fayetteville, AR",2018-2019,Arkansas,36.099357,-94.179628,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,16,"Fayetteville, AR",2019-2020,Arkansas,36.092476,-94.174011,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,17,"Georgetown, DE",2016-2017,Delaware,38.640637,-75.455834,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,17,"Georgetown, DE",2017-2018,Delaware,38.640637,-75.455834,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,17,"Georgetown, DE",2018-2019,Delaware,38.640637,-75.455834,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,17,"Georgetown, DE",2019-2020,Delaware,38.640637,-75.455834,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,18,"Savoy, IL",2016-2017,Illinois,40.048598,-88.230183,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,19,"IL-Maxwell Trust Farm, IL",2017-2018,Illinois,40.0482861,-88.2302667,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,19,"IL-Maxwell Trust Farm, IL",2018-2019,Illinois,40.0482861,-88.2302667,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,19,"IL-Maxwell Trust Farm, IL",2019-2020,Illinois,40.0482861,-88.2302667,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,20,"Central Research Station, LA",2017-2018,Louisiana,30.36184,-91.163752,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,20,"Central Research Station, LA",2018-2019,Louisiana,30.36184,-91.163752,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,20,"Central Research Station, LA",2019-2020,Louisiana,30.36184,-91.163752,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,4,"Beltsville Agricultural Research Center, Field SG 6-7, MD",2016-2017,Maryland,39.018474,-76.943426,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,4,"Beltsville Agricultural Research Center, Field SG 6-7, MD",2017-2018,Maryland,39.018474,-76.943426,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,4,"Beltsville Agricultural Research Center, Field 1-20B, MD",2019-2020,Maryland,39.028263,-76.897294,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,21,"Rosemount, MN",2016-2017,Minnesota,44.717072,-93.094689,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,21,"Rosemount, MN",2017-2018,Minnesota,44.717072,-93.094689,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,21,"Rosemount, MN",2018-2019,Minnesota,44.717072,-93.094689,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,22,"Becker, MN",2019-2020,Minnesota,45.34478,-93.855094,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,23,"Bradford Research Center, MO",2016-2017,Missouri ,38.9006056,-92.215875,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,23,"Bradford Research Center, MO",2017-2018,Missouri ,38.9006056,-92.215875,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,23,"Bradford Research Center, MO",2018-2019,Missouri ,38.9006056,-92.215875,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,23,"Bradford Research Center, MO",2019-2020,Missouri ,38.897911,-92.213526,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,24,"Rocky Mount, NC",2017-2018,North Carolina,35.896518,-77.67664,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,24,"Rocky Mount, NC",2018-2019,North Carolina,35.896518,-77.67664,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,24,"Rocky Mount, NC",2019-2020,North Carolina,35.896518,-77.67664,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,25,"ENREC, Ithaca, NE",2016-2017,Nebraska,41.166134,-96.415089,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,25,"ENREC, Ithaca, NE",2017-2018,Nebraska,41.166134,-96.415089,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,25,"ENREC, Ithaca, NE",2018-2019,Nebraska,41.16586,-96.411682,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,25,"ENREC, Ithaca, NE",2019-2020,Nebraska,41.166134,-96.415089,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,26,"College Station, TX",2018-2019,Texas,30.537007,-96.42031,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,26,"College Station, TX",2019-2020,Texas,30.537007,-96.42031,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,27,"Kentland Farm, Blacksburg, VA",2016-2017,Virginia,37.193909,-80.571305,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,27,"Kentland Farm, Blacksburg, VA",2017-2018,Virginia,37.193909,-80.571305,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,27,"Kentland Farm, Blacksburg, VA",2018-2019,Virginia,37.194598,-80.572069,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
14,27,"Kentland Farm, Blacksburg, VA",2019-2020,Virginia,37.193909,-80.571305,FALSE,Split plot and randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats as close to the soil surface as possible within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired from Alex Huddell/ University of Delaware.
15,28,BRADFORD.B1,2011-2012,Missouri ,38.8891,-92.20215,FALSE,Randomized complete block design,32,Plot level,doi.org/10.15482/USDA.ADC/1411953,NA
15,28,BRADFORD.B1,2012-2013,Missouri ,38.8891,-92.20215,FALSE,Randomized complete block design,32,Plot level,doi.org/10.15482/USDA.ADC/1411953,NA
